return_annual,volatility_annual,sharpe_ratio,weight_101207,weight_149323,weight_102887,weight_148568,weight_118633
0.10696212277360752,0.2579732221707774,0.41462490514925987,0.9999999999999998,3.175863825202366e-17,0.0,1.4518823683298632e-17,2.1353754449738789e-16
0.10965612320989676,0.24380488150093269,0.44977000679733015,0.9442800526915414,0.0,0.0,6.94481343151239e-17,0.055719947308458716
0.11235012364618586,0.22991669371554727,0.4886557901932312,0.8885601053830849,2.5553641658523368e-17,3.666283906524437e-17,8.011091264371857e-18,0.11143989461691509
0.11504412407871764,0.21636261410293253,0.5317190520908869,0.8328401581523418,1.4282613897490315e-17,1.0555792351318871e-15,0.0,0.16715984184765723
0.11773812451876436,0.20320950867658866,0.5793927916343057,0.7771202107661687,4.8258844113616824e-17,0.0,0.0,0.22287978923383178
0.12043212494734676,0.19054043400858484,0.6320554772218093,0.7214002636171108,0.0,0.0,2.496952351761496e-17,0.2785997363828898
0.12312612539142988,0.17840838498460887,0.6901364271755044,0.6684959612410677,4.59672020037214e-17,0.018610709669752083,0.0,0.31289332908918016
0.12582012582788438,0.16665463465896801,0.7549752581760183,0.61799587317655,0.0,0.05311267342567431,4.5179494439603345e-17,0.32889145339777576
0.1285141262638359,0.15532308719508534,0.8273987375902627,0.5674957787440847,0.0,0.08761459502229324,4.70792812371908e-17,0.3448896262336222
0.13120812670014467,0.14451309393654624,0.9079324449157279,0.5169956910399777,9.296958186614442e-18,0.1221165611405287,1.7229189843361526e-17,0.3608877478194936
0.13390212713645316,0.1343506083489307,0.9966618594587026,0.4664956048775911,0.0,0.15661853744910023,0.0,0.3768858576733088
0.1365961275725125,0.12499366523959109,1.0928244028261873,0.4159957918256442,0.0,0.19112231891529669,0.0,0.39288188925905915
0.1392901280090237,0.11663629570990511,1.1942262668857613,0.36549544929841243,3.894155269809228e-18,0.2256226007440942,0.0,0.4088819499574934
0.1419841284453326,0.10950759492142734,1.2965687772360215,0.3149953635889704,2.4502016316318887e-17,0.2601245800465739,6.934590344809119e-19,0.4248800563644558
0.1446781288816348,0.10386057817994972,1.3930033070965988,0.265140259217307,4.0892918619116276e-18,0.2938615839238603,0.0006991407183225479,0.44029901614051015
